date,ending_value,cf_value,hpr
2018-08-31,4790.0,0.0,0.0
2018-09-17,4815.000057220459,1460.0,1.0052192186264006
2018-10-03,6352.639808654785,1040.12,1.0123728686416487
2018-10-08,7172.454845428467,1100.12,0.9701999024818303
2018-10-16,8197.831052780151,1663.98,0.9909648695787118
2018-10-23,10022.064705848694,554.16,1.0162499212579585
2018-11-07,10546.850065231325,1509.8000000000006,0.9972225778636186
2018-11-21,11531.69333124161,2547.65,0.9564591548108728
2018-11-26,13431.546381950378,462.02,0.9539895480882414
2018-12-03,13953.000277996065,480.0,1.0042777998399963
2018-12-06,14269.481622695923,163.6,0.9886705014792083
2018-12-07,14637.247033119202,2062.5,1.01414565619183
2018-12-10,16504.210805892944,72.72,0.9882910665150516
2018-12-12,16210.355268478394,0.0,0.9778864048051502
2019-01-07,17558.238722324368,1403.35,1.0831495319826199
2019-01-18,19285.07086849213,609.4,1.0170598651254845
2019-01-28,20314.954298973083,-1048.6,1.0211356930908322
2019-03-08,18208.40732288361,-684.19,0.9450883670219921
2019-03-12,18491.689062595367,613.2,1.0552077004003144
2019-03-19,19336.84102249145,-2067.5,1.012140973922231
2019-03-20,18892.21684455872,-970.0,1.0939743919558742
2019-03-25,17840.990379333496,1568.8000000000006,0.9954678338104204
2019-04-03,19650.94957923889,519.0,1.0124246164019457
2019-04-15,20031.8193397522,489.94,0.9931516814683131
2019-05-16,19875.979795455933,880.0,0.9685319599745358
2019-05-21,20913.9603099823,1280.36,1.0076113253184489
2019-06-04,23584.33997249604,1029.0,1.0626295215667656
2019-06-24,25153.230446815487,-1060.8,1.0219348725090842
2019-08-06,24759.509647369385,590.0,1.0276883314876217
2019-08-08,26184.9195728302,623.0,1.032955664116663
2019-08-14,26753.46971511841,748.6,0.9979688890977211
2019-09-10,26910.80988025665,4796.74,0.9785012604147123
2019-09-13,31311.139680862427,778.0,0.9874979239679109
2019-10-10,31251.539964675903,0.0,0.9738977197732086
2020-02-12,37918.389791488655,678.0,1.2133286818617064
2020-02-14,38675.310207366936,834.75,1.0020447616034722
2020-02-27,39709.70993614197,1799.0,1.0050531365360411
2020-02-28,38380.400218963616,735.5,0.9246348604427596
2020-03-02,39588.93015193939,885.6999999999997,1.0120930345544354
2020-03-03,41671.31063365936,1482.8,1.0295661869479154
2020-03-04,42604.21991920471,2548.4500000000007,0.9872575125201225
2020-03-05,44931.159724235535,722.7,0.9950941949752796
2020-03-10,38318.94014263153,4751.5,0.8393362658511383
2020-03-11,44506.83258342743,1894.5,1.0333498435595077
2020-03-13,37318.360151290886,2495.1,0.8042519055717682
2020-03-16,43648.90964508057,2476.75,1.0963354975733082
2020-03-19,37723.114572525024,2768.05,0.8178336063438456
2020-03-25,42327.06020498277,2401.5,1.0453406478139056
2020-06-12,59395.299938201904,3435.5,1.327905473952306
2020-07-27,66007.74477386475,4688.9,1.050563494954506
2020-08-08,69771.41752099991,2284.8,0.9869127133851355
2020-08-21,70090.13267755508,1546.0,0.9727145704966843
2020-08-31,72050.07585430144,1849.0,1.0057784132291112
2020-09-08,73421.74706745148,1032.78,0.9935408016767211
2020-09-14,71033.29756069182,0.0,0.9540494091962974
2020-09-23,78862.46987724304,1100.77,1.110218342459209
2020-09-24,78303.41091156006,996.8,0.9792425998717523
2020-11-05,84137.98980140686,858.9000000000003,1.0610058767087285
2020-11-26,89663.93998241426,1248.26,1.0549084818504755
2020-12-15,92205.86025953293,1204.2800000000002,1.0142297763927055
2020-12-18,96197.04997634886,1105.5,1.0298351946488113
2020-12-21,96962.95055055617,1803.5,0.9965098609864259
2021-01-04,100125.3499956131,1427.2,1.0137587150037486
