08/08/2020,Buy,ABEV3,80,"13,36"
08/08/2020,Buy,ITUB3,50,"24,32"
21/08/2020,Buy,IRBR3,200,"7,73"
31/08/2020,Buy,ITSA4,100,"9,60"
31/08/2020,Buy,ODPV3,70,"12,70"
08/09/2020,Buy,ITUB3,30,"23,23"
08/09/2020,Buy,ABEV3,27,"12,44"
23/09/2020,Buy,IRBR3,99,"6,33"
23/09/2020,Buy,IRBR3,65,"6,32"
23/09/2020,Buy,IRBR3,10,"6,33"
24/09/2020,Buy,ITSA4,112,"8,90"
14/09/2020,Split,MGLU3,345,"0,00"
05/11/2020,Buy,ITUB3,20,"23,73"
05/11/2020,Buy,ODPV3,30,"12,81"
26/11/2020,Buy,PSSA3,26,"48,01"
15/12/2020,Buy,ODPV3,45,"13,66"
15/12/2020,Buy,MYPK3,41,"14,38"
18/12/2020,Buy,ELET3,30,"36,85"
21/12/2020,Buy,ELET3,50,"36,07"
04/01/2021,Buy,ELET3,40,"35,68"
05/01/2021,Buy,ELET3,50,"34,67"
